time,i_value,j_value,latitude,longitude,u_west_to_east_wind,v_south_to_north_wind,temprature,relative_humidity,vertical_velocity,pressure,water_vapour,turbulent_kinatic_energy,precipitation_rate,sensible_heat_flux,latent_heat_flux,tracer_concentration
18.0,13,49,33.262,-81.679,-5.10182,-1.4157,22.92665,52.52708,24.596,1010.69061,9.30421,1.3582,389.84586,20.73942,4.83e-12,1
14.9,16,16,33.229,-81.676,-4.25269,2.7344,19.73602,70.10011,20.32247,1010.92865,10.15847,1.77735,182.09592,62.51543,0.0,0
12.6,8,46,33.259,-81.684,-5.47186,1.50515,17.48604,84.70695,-20.11244,1010.70654,10.63293,0.85855,135.93021,-2.67671,3.24e-10,1
13.0,36,38,33.251,-81.656,-6.27889,1.82094,17.55207,83.49678,7.35951,1009.00543,10.5439,1.16384,100.23122,3.11109,6.61e-10,1
15.2,53,20,33.233,-81.639,-5.85575,0.69901,19.93896,70.77383,-6.66258,1011.11914,10.38689,1.82887,402.90112,-3.06021,0.0,0
14.5,18,42,33.255,-81.674,-7.50244,2.13249,18.90125,73.42566,-66.98728,1010.2077,10.09708,0.78314,275.42883,18.59246,2.18e-10,1
16.0,16,39,33.252,-81.676,-6.47907,2.49292,20.36419,64.91724,-80.57031,1009.46179,9.80387,0.51819,219.90135,5.54592,1.29e-10,1
16.9,13,43,33.256,-81.679,-4.8523,2.24922,21.76812,56.1581,-6.84377,1009.5415,9.264,0.8664,260.98141,34.43962,1.77e-11,1
17.6,65,37,33.25,-81.627,-5.48429,0.04771,22.27685,56.14863,27.93821,1007.75806,9.57847,1.87068,446.21985,6.67191,0.0,0
14.2,14,30,33.243,-81.678,-5.17386,3.36463,19.13297,72.5573,12.08058,1010.99603,10.11836,1.30361,247.1171,15.3077,0.0,0
15.1,23,43,33.256,-81.669,-5.19262,1.00397,19.91742,70.88801,60.74263,1010.82843,10.39251,1.11679,189.43547,-1.8615,1.01e-12,1
14.8,7,16,33.229,-81.685,-3.56752,1.97002,19.79278,69.99768,95.24802,1011.69257,10.17228,1.96805,235.42783,71.01691,0.0,0
15.1,11,35,33.248,-81.681,-4.96349,1.816,19.98629,68.0664,70.19238,1010.9325,10.02155,1.03468,240.40686,55.58487,0.0,0
12.1,44,5,33.218,-81.648,-4.85857,2.07314,17.24303,86.15673,-3.71486,1009.21851,10.663,1.5356,-4.84548,12.89852,0.0,0
12.3,28,42,33.255,-81.664,-5.8535,1.72595,17.22329,86.11288,24.68812,1008.99768,10.64625,0.72553,29.76434,2.93626,1.7e-09,1
12.1,44,22,33.235,-81.648,-5.2199,1.95686,17.18669,86.18655,9.0524,1006.95184,10.65224,1.56828,63.39673,5.97778,0.0,0
15.8,9,43,33.256,-81.683,-6.11088,1.62534,20.40889,65.20921,-31.60341,1010.6582,9.86381,1.01181,357.34708,9.52968,9.32e-11,1
12.9,33,39,33.252,-81.659,-5.92156,2.07471,17.47441,84.31341,4.18037,1008.81775,10.59585,1.11271,88.53327,-1.08581,2.23e-10,1
14.1,25,29,33.242,-81.667,-5.44275,1.53602,18.84851,75.35728,-54.13844,1011.18286,10.3178,1.09761,187.95552,-2.66282,0.0,0
12.7,47,41,33.254,-81.645,-5.82332,1.95075,17.24929,85.30853,-3.53002,1008.15997,10.57355,1.51987,71.82615,3.18611,0.0,0
13.8,45,39,33.252,-81.647,-4.56617,1.53674,18.49262,77.66479,18.20661,1009.19421,10.41556,1.38091,169.82269,1.4054,0.0,0
13.8,43,54,33.267,-81.649,-4.15301,1.76353,18.61455,76.76579,-5.48442,1010.93646,10.35739,1.92571,175.8362,3.76728,0.0,0
15.8,8,49,33.262,-81.684,-4.37917,-0.26943,20.53032,68.45853,-19.74987,1012.44885,10.41593,0.99615,190.89012,-13.38476,1.26e-11,1
14.9,27,40,33.253,-81.665,-5.25379,2.345,19.54791,71.7171,84.86443,1010.00012,10.27885,1.10309,204.36597,-0.96723,1.07e-11,1
13.8,32,52,33.265,-81.66,-5.08368,1.33628,18.64242,76.86209,39.98415,1010.55957,10.39281,1.16325,173.08167,3.33807,0.0,0
12.7,27,43,33.256,-81.665,-4.82525,1.73817,17.5504,83.99011,12.68173,1010.11963,10.59309,0.73265,55.77071,1.51644,3.11e-10,1
12.3,69,66,33.279,-81.623,-5.7452,2.00248,16.79856,88.22974,7.38742,1007.51642,10.62874,1.96833,94.32608,2.9856,0.0,0
